folder,plc,network,loss,rtt,app_neteq,neteq_v1,kNormal,kCodecPlc,kExpand,kMerge,kAccelerateSuccess,kAccelerateLowEnergy,kAccelerateFail,kPreemptiveExpandSuccess,kPreemptiveExpandLowEnergy,kPreemptiveExpandFail,kDefault
en-5_dec-6_normal_dred-0_Edge-Good_loss-40_rtt-400_03-08-2026_171754,False,Edge-Good,40,400,3.0432,4.86056,473,0,894,358,31,18,26,215,141,84,0
en-5_dec-6_normal_dred-0_Edge-Good_loss-50_rtt-600_03-08-2026_171846,False,Edge-Good,50,600,2.60132,4.84641,341,0,1024,341,36,16,19,187,185,91,0
en-5_dec-6_normal_dred-0_Edge-Good_loss-5_rtt-80_03-08-2026_171355,False,Edge-Good,5,80,4.46972,4.94731,1573,0,137,84,103,13,83,140,61,40,0
en-5_dec-6_normal_dred-0_Edge-Good_loss-70_rtt-900_03-08-2026_213203,False,Edge-Good,70,900,0.660765,4.80689,176,0,1506,329,14,6,12,91,66,36,0
en-5_dec-6_normal_dred-0_Edge-Good_loss-90_rtt-1200_03-08-2026_172021,False,Edge-Good,90,1200,0.538056,4.78155,152,0,1856,120,9,5,6,42,25,21,0
en-5_dec-6_normal_dred-0_Edge-Lossy_loss-0_rtt-50_03-08-2026_172109,False,Edge-Lossy,0,50,4.5259,4.94767,1563,0,61,15,145,16,146,156,81,51,0
en-5_dec-6_normal_dred-0_Edge-Lossy_loss-10_rtt-120_03-08-2026_172247,False,Edge-Lossy,10,120,4.38597,4.93484,1268,0,295,162,60,10,114,177,66,88,0
en-5_dec-6_normal_dred-0_Edge-Lossy_loss-15_rtt-160_03-08-2026_172335,False,Edge-Lossy,15,160,4.20625,4.91882,1124,0,376,219,80,14,117,157,73,85,0
en-5_dec-6_normal_dred-0_Edge-Lossy_loss-20_rtt-200_03-08-2026_172424,False,Edge-Lossy,20,200,4.03403,4.90982,1012,0,436,227,60,28,90,207,105,71,0
en-5_dec-6_normal_dred-0_Edge-Lossy_loss-30_rtt-300_03-08-2026_172512,False,Edge-Lossy,30,300,3.64632,4.88415,808,0,620,302,56,41,20,186,130,71,0
en-5_dec-6_normal_dred-0_Edge-Lossy_loss-40_rtt-400_03-08-2026_172601,False,Edge-Lossy,40,400,3.2116,4.86301,497,0,848,360,35,28,34,209,110,112,0
en-5_dec-6_normal_dred-0_Edge-Lossy_loss-50_rtt-600_03-08-2026_172649,False,Edge-Lossy,50,600,2.7182,4.84502,318,0,1045,387,30,13,14,166,151,106,0
en-5_dec-6_normal_dred-0_Edge-Lossy_loss-5_rtt-80_03-08-2026_172159,False,Edge-Lossy,5,80,4.37667,4.93221,1381,0,171,85,144,21,139,147,56,87,0
en-5_dec-6_normal_dred-0_Edge-Lossy_loss-70_rtt-900_03-08-2026_172737,False,Edge-Lossy,70,900,0.607292,4.80399,198,0,1530,286,21,9,4,77,62,42,0
en-5_dec-6_normal_dred-0_Edge-Lossy_loss-90_rtt-1200_03-08-2026_172824,False,Edge-Lossy,90,1200,0.416667,4.77636,134,0,1868,117,22,0,1,26,30,10,0
en-5_dec-6_normal_dred-0_Wifi-Average_loss-0_rtt-50_03-08-2026_172912,False,Wifi-Average,0,50,4.68833,4.9599,1797,0,27,4,124,20,106,86,40,34,0
en-5_dec-6_normal_dred-0_Wifi-Average_loss-10_rtt-120_03-08-2026_173046,False,Wifi-Average,10,120,4.66153,4.95564,1649,0,229,188,30,3,22,39,54,21,0
en-5_dec-6_normal_dred-0_Wifi-Average_loss-15_rtt-160_03-08-2026_213254,False,Wifi-Average,15,160,4.53319,4.93937,1409,0,330,243,34,6,24,57,53,73,0
en-5_dec-6_normal_dred-0_Wifi-Average_loss-20_rtt-200_03-08-2026_173223,False,Wifi-Average,20,200,4.35,4.92874,1256,0,431,312,13,0,6,88,56,42,0
en-5_dec-6_normal_dred-0_Wifi-Average_loss-30_rtt-300_03-08-2026_173312,False,Wifi-Average,30,300,3.80167,4.88896,789,0,670,396,49,0,56,112,43,91,0
en-5_dec-6_normal_dred-0_Wifi-Average_loss-40_rtt-400_03-08-2026_173359,False,Wifi-Average,40,400,3.14361,4.86755,638,0,871,420,20,19,4,123,92,49,0
en-5_dec-6_normal_dred-0_Wifi-Average_loss-50_rtt-600_03-08-2026_173447,False,Wifi-Average,50,600,2.18042,4.84468,372,0,1072,366,27,8,0,196,112,83,0
en-5_dec-6_normal_dred-0_Wifi-Average_loss-5_rtt-80_03-08-2026_172959,False,Wifi-Average,5,80,4.85569,4.97683,1924,0,94,75,20,11,10,30,47,27,0
en-5_dec-6_normal_dred-0_Wifi-Average_loss-70_rtt-900_03-08-2026_173534,False,Wifi-Average,70,900,0.736945,4.81036,207,0,1470,326,10,12,0,78,80,47,0
en-5_dec-6_normal_dred-0_Wifi-Average_loss-90_rtt-1200_03-08-2026_213345,False,Wifi-Average,90,1200,0.416667,4.77429,115,0,1924,120,12,0,8,10,17,13,0
en-5_dec-6_normal_dred-0_Wifi-Good_loss-0_rtt-50_03-08-2026_173710,False,Wifi-Good,0,50,4.9625,4.99154,2091,0,8,2,25,0,18,17,51,27,0
en-5_dec-6_normal_dred-0_Wifi-Good_loss-10_rtt-120_03-08-2026_173845,False,Wifi-Good,10,120,4.67062,4.9538,1608,0,225,175,40,7,58,43,35,45,0
en-5_dec-6_normal_dred-0_Wifi-Good_loss-15_rtt-160_03-08-2026_173933,False,Wifi-Good,15,160,4.50056,4.93859,1384,0,339,239,20,18,51,76,39,68,0
en-5_dec-6_normal_dred-0_Wifi-Good_loss-20_rtt-200_03-08-2026_174020,False,Wifi-Good,20,200,4.35368,4.92568,1246,0,407,275,35,12,30,102,54,68,0
en-5_dec-6_normal_dred-0_Wifi-Good_loss-30_rtt-300_03-08-2026_174108,False,Wifi-Good,30,300,3.76188,4.89728,920,0,644,388,38,0,66,72,55,44,0
en-5_dec-6_normal_dred-0_Wifi-Good_loss-40_rtt-400_03-08-2026_174156,False,Wifi-Good,40,400,3.36229,4.87423,512,0,828,377,25,2,52,183,102,158,0
en-5_dec-6_normal_dred-0_Wifi-Good_loss-50_rtt-600_03-08-2026_174244,False,Wifi-Good,50,600,2.64153,4.85329,382,0,992,341,14,13,4,242,153,91,0
en-5_dec-6_normal_dred-0_Wifi-Good_loss-5_rtt-80_03-08-2026_173757,False,Wifi-Good,5,80,4.85882,4.97487,1918,0,113,96,22,5,2,25,48,9,0
en-5_dec-6_normal_dred-0_Wifi-Good_loss-70_rtt-900_03-08-2026_174332,False,Wifi-Good,70,900,0.87757,4.81376,176,0,1473,323,0,0,0,122,96,52,0
en-5_dec-6_normal_dred-0_Wifi-Good_loss-90_rtt-1200_03-08-2026_174420,False,Wifi-Good,90,1200,0.514583,4.77573,164,0,1856,117,20,23,6,10,25,6,0
en-5_dec-6_normal_dred-0_Wifi-Poor_loss-0_rtt-50_03-08-2026_213436,False,Wifi-Poor,0,50,4.97021,4.99261,2119,0,6,4,17,6,20,14,36,23,0
en-5_dec-6_normal_dred-0_Wifi-Poor_loss-10_rtt-120_03-08-2026_174643,False,Wifi-Poor,10,120,4.64222,4.95903,1718,0,204,152,32,3,6,60,43,24,0
en-5_dec-6_normal_dred-0_Wifi-Poor_loss-15_rtt-160_03-08-2026_174730,False,Wifi-Poor,15,160,4.54604,4.94189,1520,0,278,224,45,16,24,47,44,27,0
en-5_dec-6_normal_dred-0_Wifi-Poor_loss-20_rtt-200_03-08-2026_174818,False,Wifi-Poor,20,200,4.37236,4.93413,1351,0,369,260,32,5,32,78,52,55,0
en-5_dec-6_normal_dred-0_Wifi-Poor_loss-30_rtt-300_03-08-2026_213527,False,Wifi-Poor,30,300,3.78507,4.8929,838,0,676,364,30,0,8,136,58,102,0
en-5_dec-6_normal_dred-0_Wifi-Poor_loss-40_rtt-400_03-08-2026_174953,False,Wifi-Poor,40,400,3.40715,4.87822,683,0,808,381,30,3,61,140,51,86,0
en-5_dec-6_normal_dred-0_Wifi-Poor_loss-50_rtt-600_03-08-2026_175041,False,Wifi-Poor,50,600,2.62868,4.84897,292,0,1056,380,13,0,6,216,158,117,0
en-5_dec-6_normal_dred-0_Wifi-Poor_loss-5_rtt-80_03-08-2026_174555,False,Wifi-Poor,5,80,4.89222,4.98144,1959,0,71,59,21,0,2,48,51,25,0
en-5_dec-6_normal_dred-0_Wifi-Poor_loss-70_rtt-900_03-08-2026_175128,False,Wifi-Poor,70,900,1.12604,4.8203,255,0,1400,314,6,6,8,100,88,59,0
en-5_dec-6_normal_dred-0_Wifi-Poor_loss-90_rtt-1200_03-08-2026_175216,False,Wifi-Poor,90,1200,0.418056,4.78269,164,0,1865,107,0,0,0,45,24,16,0
en-5_dec-6_plc_dred-0_2G-DevelopingRural_loss-0_rtt-50_03-08-2026_105822,True,2G-DevelopingRural,0,50,3.20111,4.87075,613,1058,0,0,0,0,0,149,174,235,0
en-5_dec-6_plc_dred-0_2G-DevelopingRural_loss-10_rtt-120_03-08-2026_110002,True,2G-DevelopingRural,10,120,2.33236,4.85377,561,1209,0,0,0,0,0,118,159,155,0
en-5_dec-6_plc_dred-0_2G-DevelopingRural_loss-15_rtt-160_03-08-2026_110050,True,2G-DevelopingRural,15,160,2.5382,4.85481,577,1220,1,0,0,0,0,132,147,167,0
en-5_dec-6_plc_dred-0_2G-DevelopingRural_loss-20_rtt-200_03-08-2026_110140,True,2G-DevelopingRural,20,200,2.0466,4.84517,583,1338,0,0,0,0,0,49,139,128,0
en-5_dec-6_plc_dred-0_2G-DevelopingRural_loss-30_rtt-300_03-08-2026_110229,True,2G-DevelopingRural,30,300,1.70583,4.83693,529,1399,2,0,0,0,0,73,109,114,0
en-5_dec-6_plc_dred-0_2G-DevelopingRural_loss-40_rtt-400_03-08-2026_110319,True,2G-DevelopingRural,40,400,0.846875,4.82194,487,1556,0,0,0,0,0,40,78,68,0
en-5_dec-6_plc_dred-0_2G-DevelopingRural_loss-50_rtt-600_03-08-2026_110408,True,2G-DevelopingRural,50,600,0.61875,4.81341,457,1636,0,0,3,0,4,17,52,54,0
en-5_dec-6_plc_dred-0_2G-DevelopingRural_loss-5_rtt-80_03-08-2026_105912,True,2G-DevelopingRural,5,80,2.79438,4.86192,535,1121,0,0,3,0,0,164,187,217,0
en-5_dec-6_plc_dred-0_2G-DevelopingRural_loss-70_rtt-900_03-08-2026_110457,True,2G-DevelopingRural,70,900,0.416667,4.79365,330,1820,0,0,0,0,0,17,32,22,0
en-5_dec-6_plc_dred-0_2G-DevelopingRural_loss-90_rtt-1200_03-08-2026_110546,True,2G-DevelopingRural,90,1200,0.558681,4.78058,230,1966,0,0,0,0,0,0,57,0,0
en-5_dec-6_plc_dred-0_2G-DevelopingUrban_loss-0_rtt-50_03-08-2026_110635,True,2G-DevelopingUrban,0,50,3.54104,4.91703,851,497,1,0,6,7,18,409,251,183,0
en-5_dec-6_plc_dred-0_2G-DevelopingUrban_loss-10_rtt-120_03-08-2026_110813,True,2G-DevelopingUrban,10,120,3.45299,4.90424,688,611,0,0,7,5,2,405,334,203,0
en-5_dec-6_plc_dred-0_2G-DevelopingUrban_loss-15_rtt-160_03-08-2026_110902,True,2G-DevelopingUrban,15,160,3.9025,4.91086,671,551,0,0,0,0,0,425,351,221,0
en-5_dec-6_plc_dred-0_2G-DevelopingUrban_loss-20_rtt-200_03-08-2026_110952,True,2G-DevelopingUrban,20,200,3.45368,4.89662,627,689,0,0,3,8,0,392,274,238,0
en-5_dec-6_plc_dred-0_2G-DevelopingUrban_loss-30_rtt-300_03-08-2026_111041,True,2G-DevelopingUrban,30,300,3.14361,4.88364,628,883,0,0,0,0,4,268,283,183,0
en-5_dec-6_plc_dred-0_2G-DevelopingUrban_loss-40_rtt-400_03-08-2026_111130,True,2G-DevelopingUrban,40,400,2.89146,4.86751,535,1028,0,0,0,0,0,258,224,174,0
en-5_dec-6_plc_dred-0_2G-DevelopingUrban_loss-50_rtt-600_03-08-2026_111220,True,2G-DevelopingUrban,50,600,2.14375,4.85125,593,1238,0,0,4,3,0,133,159,117,0
en-5_dec-6_plc_dred-0_2G-DevelopingUrban_loss-5_rtt-80_03-08-2026_110724,True,2G-DevelopingUrban,5,80,3.49375,4.89083,803,665,0,0,37,38,24,299,233,148,0
en-5_dec-6_plc_dred-0_2G-DevelopingUrban_loss-70_rtt-900_03-08-2026_111309,True,2G-DevelopingUrban,70,900,0.616389,4.81748,447,1588,0,0,0,0,0,50,75,63,0
en-5_dec-6_plc_dred-0_2G-DevelopingUrban_loss-90_rtt-1200_03-08-2026_111358,True,2G-DevelopingUrban,90,1200,0.416667,4.78249,249,1918,0,0,5,0,12,4,31,6,0
en-5_dec-6_plc_dred-0_3G-Average_loss-0_rtt-50_03-08-2026_111448,True,3G-Average,0,50,4.93424,4.98975,2099,10,0,0,30,0,8,31,47,13,0
en-5_dec-6_plc_dred-0_3G-Average_loss-10_rtt-120_03-08-2026_111627,True,3G-Average,10,120,4.67347,4.95695,1753,221,0,0,45,21,66,48,58,17,0
en-5_dec-6_plc_dred-0_3G-Average_loss-15_rtt-160_03-08-2026_111716,True,3G-Average,15,160,4.49597,4.94325,1582,339,0,0,56,3,56,90,56,39,0
en-5_dec-6_plc_dred-0_3G-Average_loss-20_rtt-200_03-08-2026_111805,True,3G-Average,20,200,4.28917,4.92745,1409,429,0,0,72,9,81,97,68,52,0
en-5_dec-6_plc_dred-0_3G-Average_loss-30_rtt-300_03-08-2026_111854,True,3G-Average,30,300,3.95792,4.91117,1207,643,0,0,27,11,58,150,81,61,0
en-5_dec-6_plc_dred-0_3G-Average_loss-40_rtt-400_03-08-2026_111943,True,3G-Average,40,400,3.51104,4.89135,993,845,0,0,16,8,12,131,149,90,0
en-5_dec-6_plc_dred-0_3G-Average_loss-50_rtt-600_03-08-2026_112033,True,3G-Average,50,600,3.04576,4.87288,752,979,1,0,18,3,14,191,157,107,0
en-5_dec-6_plc_dred-0_3G-Average_loss-5_rtt-80_03-08-2026_111538,True,3G-Average,5,80,4.78604,4.9672,1825,118,0,0,60,9,63,61,59,32,0
en-5_dec-6_plc_dred-0_3G-Average_loss-70_rtt-900_03-08-2026_112122,True,3G-Average,70,900,0.989583,4.83503,527,1396,0,0,0,0,0,108,109,74,0
en-5_dec-6_plc_dred-0_3G-Average_loss-90_rtt-1200_03-08-2026_112211,True,3G-Average,90,1200,0.418542,4.78821,294,1869,0,0,2,0,9,15,21,13,0
en-5_dec-6_plc_dred-0_3G-Good_loss-0_rtt-50_03-08-2026_112301,True,3G-Good,0,50,4.92313,4.98758,2048,12,0,0,34,6,20,21,52,38,0
en-5_dec-6_plc_dred-0_3G-Good_loss-10_rtt-120_03-08-2026_185145,True,3G-Good,10,120,4.58514,4.93515,1588,231,1,0,142,18,149,48,39,16,0
en-5_dec-6_plc_dred-0_3G-Good_loss-15_rtt-160_03-08-2026_112529,True,3G-Good,15,160,4.61278,4.95056,1682,310,0,0,20,22,24,89,50,26,0
en-5_dec-6_plc_dred-0_3G-Good_loss-20_rtt-200_03-08-2026_112618,True,3G-Good,20,200,4.32458,4.93293,1499,424,0,0,54,5,42,106,60,33,0
en-5_dec-6_plc_dred-0_3G-Good_loss-30_rtt-300_03-08-2026_112707,True,3G-Good,30,300,3.76472,4.90272,1180,633,0,0,56,20,6,158,84,86,0
en-5_dec-6_plc_dred-0_3G-Good_loss-40_rtt-400_03-08-2026_112756,True,3G-Good,40,400,3.38514,4.88878,972,786,0,0,32,17,2,183,150,77,0
en-5_dec-6_plc_dred-0_3G-Good_loss-50_rtt-600_03-08-2026_112845,True,3G-Good,50,600,2.98208,4.86816,736,971,0,0,9,28,2,229,155,84,0
en-5_dec-6_plc_dred-0_3G-Good_loss-5_rtt-80_03-08-2026_112350,True,3G-Good,5,80,4.82319,4.97839,1919,114,0,0,18,7,29,43,50,32,0
en-5_dec-6_plc_dred-0_3G-Good_loss-70_rtt-900_03-08-2026_112935,True,3G-Good,70,900,1.07632,4.83232,504,1452,0,0,0,0,0,95,126,82,0
en-5_dec-6_plc_dred-0_3G-Good_loss-90_rtt-1200_03-08-2026_113025,True,3G-Good,90,1200,0.416667,4.78348,278,1919,0,0,2,0,0,4,21,3,0
en-5_dec-6_plc_dred-0_3G-Poor_loss-0_rtt-50_03-08-2026_115015,True,3G-Poor,0,50,4.75958,4.97275,1883,147,0,0,24,4,29,76,60,28,0
en-5_dec-6_plc_dred-0_3G-Poor_loss-10_rtt-120_03-08-2026_115156,True,3G-Poor,10,120,4.49132,4.94387,1597,324,0,0,51,6,38,144,58,41,0
en-5_dec-6_plc_dred-0_3G-Poor_loss-15_rtt-160_03-08-2026_115246,True,3G-Poor,15,160,4.44799,4.9398,1485,389,0,0,34,3,47,153,53,57,0
en-5_dec-6_plc_dred-0_3G-Poor_loss-20_rtt-200_03-08-2026_115336,True,3G-Poor,20,200,4.13049,4.92817,1393,521,0,0,19,6,8,124,82,64,0
en-5_dec-6_plc_dred-0_3G-Poor_loss-30_rtt-300_03-08-2026_115427,True,3G-Poor,30,300,3.81576,4.90212,1138,690,0,0,38,13,28,143,131,55,0
en-5_dec-6_plc_dred-0_3G-Poor_loss-40_rtt-400_03-08-2026_115515,True,3G-Poor,40,400,3.47833,4.87964,821,878,0,0,23,17,6,221,172,107,0
en-5_dec-6_plc_dred-0_3G-Poor_loss-50_rtt-600_03-08-2026_115604,True,3G-Poor,50,600,3.06146,4.86725,647,1039,0,0,15,0,6,221,176,142,0
en-5_dec-6_plc_dred-0_3G-Poor_loss-5_rtt-80_03-08-2026_115106,True,3G-Poor,5,80,4.66611,4.95951,1724,233,0,0,35,0,24,120,59,45,0
en-5_dec-6_plc_dred-0_3G-Poor_loss-70_rtt-900_03-08-2026_115653,True,3G-Poor,70,900,0.986111,4.83044,489,1457,0,0,0,0,0,101,116,79,0
en-5_dec-6_plc_dred-0_3G-Poor_loss-90_rtt-1200_03-08-2026_115741,True,3G-Poor,90,1200,0.536597,4.78561,288,1912,0,0,2,0,0,6,34,3,0
en-5_dec-6_plc_dred-0_4G-Average_loss-0_rtt-50_03-08-2026_115831,True,4G-Average,0,50,4.97035,4.9943,2093,17,0,0,6,0,8,31,46,20,0
en-5_dec-6_plc_dred-0_4G-Average_loss-10_rtt-120_03-08-2026_120012,True,4G-Average,10,120,4.72993,4.96879,1857,246,0,0,0,0,0,59,51,28,0
en-5_dec-6_plc_dred-0_4G-Average_loss-15_rtt-160_03-08-2026_120103,True,4G-Average,15,160,4.61833,4.96075,1740,308,0,0,0,0,0,68,61,36,0
en-5_dec-6_plc_dred-0_4G-Average_loss-20_rtt-200_03-08-2026_120153,True,4G-Average,20,200,4.4859,4.94804,1658,398,0,0,13,0,10,86,45,39,0
en-5_dec-6_plc_dred-0_4G-Average_loss-30_rtt-300_03-08-2026_120243,True,4G-Average,30,300,3.80417,4.91836,1261,644,0,0,9,0,22,112,81,85,0
en-5_dec-6_plc_dred-0_4G-Average_loss-40_rtt-400_03-08-2026_120333,True,4G-Average,40,400,3.49042,4.88595,849,892,0,0,3,0,4,224,185,89,0
en-5_dec-6_plc_dred-0_4G-Average_loss-50_rtt-600_03-08-2026_120423,True,4G-Average,50,600,2.8716,4.86974,541,1017,0,0,0,0,0,211,222,208,0
en-5_dec-6_plc_dred-0_4G-Average_loss-5_rtt-80_03-08-2026_115922,True,4G-Average,5,80,4.87958,4.9814,2009,109,0,0,14,6,38,23,47,7,0
en-5_dec-6_plc_dred-0_4G-Average_loss-70_rtt-900_03-08-2026_120514,True,4G-Average,70,900,1.19229,4.83483,543,1407,0,0,0,12,0,84,90,108,0
en-5_dec-6_plc_dred-0_4G-Average_loss-90_rtt-1200_03-08-2026_120604,True,4G-Average,90,1200,0.474375,4.79009,300,1858,0,0,0,0,4,23,43,6,0
en-5_dec-6_plc_dred-0_4G-Good_loss-0_rtt-50_03-08-2026_120654,True,4G-Good,0,50,4.97778,4.99471,2128,0,0,0,9,3,6,38,41,17,0
en-5_dec-6_plc_dred-0_4G-Good_loss-10_rtt-120_03-08-2026_120833,True,4G-Good,10,120,4.75063,4.96598,1871,236,0,0,22,3,11,24,52,30,0
en-5_dec-6_plc_dred-0_4G-Good_loss-15_rtt-160_03-08-2026_185243,True,4G-Good,15,160,4.98472,4.99574,2237,0,2,0,17,0,6,0,14,0,0
en-5_dec-6_plc_dred-0_4G-Good_loss-15_rtt-160_03-08-2026_190847,True,4G-Good,15,160,4.48778,4.92857,1472,361,0,0,102,18,102,53,46,56,0
en-5_dec-6_plc_dred-0_4G-Good_loss-20_rtt-200_03-08-2026_121013,True,4G-Good,20,200,4.47007,4.93798,1550,397,0,0,46,9,54,77,61,23,0
en-5_dec-6_plc_dred-0_4G-Good_loss-30_rtt-300_03-08-2026_121103,True,4G-Good,30,300,3.96042,4.91506,1211,635,0,0,19,7,50,149,57,103,0
en-5_dec-6_plc_dred-0_4G-Good_loss-40_rtt-400_03-08-2026_121153,True,4G-Good,40,400,3.62444,4.8939,1011,795,1,0,17,17,21,166,131,95,0
en-5_dec-6_plc_dred-0_4G-Good_loss-50_rtt-600_03-08-2026_121243,True,4G-Good,50,600,3.2359,4.8713,751,998,0,0,14,12,11,178,165,113,0
en-5_dec-6_plc_dred-0_4G-Good_loss-5_rtt-80_03-08-2026_120743,True,4G-Good,5,80,4.83014,4.9772,1954,120,0,0,33,0,22,17,42,18,0
en-5_dec-6_plc_dred-0_4G-Good_loss-70_rtt-900_03-08-2026_121333,True,4G-Good,70,900,1.09194,4.83029,500,1459,1,0,2,0,0,100,93,88,0
en-5_dec-6_plc_dred-0_4G-Good_loss-90_rtt-1200_03-08-2026_121423,True,4G-Good,90,1200,0.558333,4.79347,338,1838,0,0,0,0,0,11,57,0,0
en-5_dec-6_plc_dred-0_4G-Poor_loss-0_rtt-50_03-08-2026_121513,True,4G-Poor,0,50,4.8425,4.97833,1934,94,0,0,31,2,30,58,56,38,0
en-5_dec-6_plc_dred-0_4G-Poor_loss-10_rtt-120_03-08-2026_121653,True,4G-Poor,10,120,4.56486,4.95526,1736,276,0,0,31,8,12,94,50,37,0
en-5_dec-6_plc_dred-0_4G-Poor_loss-15_rtt-160_03-08-2026_121743,True,4G-Poor,15,160,4.61121,4.95027,1540,335,0,0,17,0,8,57,37,13,0
en-5_dec-6_plc_dred-0_4G-Poor_loss-20_rtt-200_03-08-2026_121832,True,4G-Poor,20,200,4.42167,4.93881,1486,471,0,0,11,0,34,105,82,64,0
en-5_dec-6_plc_dred-0_4G-Poor_loss-30_rtt-300_03-08-2026_121922,True,4G-Poor,30,300,3.92146,4.91043,1216,674,0,0,10,14,4,155,100,71,0
en-5_dec-6_plc_dred-0_4G-Poor_loss-40_rtt-400_03-08-2026_122012,True,4G-Poor,40,400,3.26757,4.88275,825,894,0,0,10,11,9,185,177,118,0
en-5_dec-6_plc_dred-0_4G-Poor_loss-50_rtt-600_03-08-2026_122102,True,4G-Poor,50,600,2.8016,4.86564,612,1078,0,0,0,0,0,220,184,144,0
en-5_dec-6_plc_dred-0_4G-Poor_loss-5_rtt-80_03-08-2026_121603,True,4G-Poor,5,80,4.71618,4.96884,1834,191,0,0,13,9,36,84,55,21,0
en-5_dec-6_plc_dred-0_4G-Poor_loss-70_rtt-900_03-08-2026_122152,True,4G-Poor,70,900,0.888472,4.82162,476,1560,0,0,2,0,0,73,61,78,0
en-5_dec-6_plc_dred-0_4G-Poor_loss-90_rtt-1200_03-08-2026_122242,True,4G-Poor,90,1200,0.475417,4.78708,308,1899,0,0,0,0,0,3,25,2,0
en-5_dec-6_plc_dred-0_5G-Average_loss-0_rtt-50_03-08-2026_190937,True,5G-Average,0,50,4.97236,4.99246,2119,6,4,0,24,0,32,9,30,16,0
en-5_dec-6_plc_dred-0_5G-Average_loss-0_rtt-50_03-08-2026_192532,True,5G-Average,0,50,4.97587,4.99322,2098,2,0,0,24,0,22,13,20,5,0
en-5_dec-6_plc_dred-0_5G-Average_loss-10_rtt-120_03-08-2026_192623,True,5G-Average,10,120,4.6484,4.949,1690,228,0,0,96,7,99,23,33,29,0
en-5_dec-6_plc_dred-0_5G-Average_loss-15_rtt-160_03-08-2026_125206,True,5G-Average,15,160,4.625,4.95085,1742,292,1,0,53,3,26,67,46,13,0
en-5_dec-6_plc_dred-0_5G-Average_loss-20_rtt-200_03-08-2026_192714,True,5G-Average,20,200,4.33451,4.92823,1495,458,0,0,66,11,82,44,40,25,0
en-5_dec-6_plc_dred-0_5G-Average_loss-30_rtt-300_03-08-2026_125340,True,5G-Average,30,300,4.13583,4.91576,1254,626,0,0,24,0,6,134,99,75,0
en-5_dec-6_plc_dred-0_5G-Average_loss-40_rtt-400_03-08-2026_125430,True,5G-Average,40,400,3.49396,4.89251,1043,814,0,0,14,19,12,103,145,60,0
en-5_dec-6_plc_dred-0_5G-Average_loss-50_rtt-600_03-08-2026_125520,True,5G-Average,50,600,2.85167,4.86247,653,1029,0,0,28,11,20,226,158,109,0
en-5_dec-6_plc_dred-0_5G-Average_loss-5_rtt-80_03-08-2026_125029,True,5G-Average,5,80,4.87931,4.98053,1947,120,0,0,17,0,14,21,52,48,0
en-5_dec-6_plc_dred-0_5G-Average_loss-70_rtt-900_03-08-2026_125610,True,5G-Average,70,900,1.0641,4.82629,469,1465,0,0,2,3,8,102,92,67,0
en-5_dec-6_plc_dred-0_5G-Average_loss-90_rtt-1200_03-08-2026_125700,True,5G-Average,90,1200,0.550417,4.78837,289,1869,0,0,2,6,10,14,28,22,0
en-5_dec-6_plc_dred-0_5G-Good_loss-0_rtt-50_03-08-2026_125750,True,5G-Good,0,50,4.98493,4.99691,2140,4,0,0,3,0,0,28,31,8,0
en-5_dec-6_plc_dred-0_5G-Good_loss-10_rtt-120_03-08-2026_125930,True,5G-Good,10,120,4.79472,4.96907,1869,186,0,0,14,15,22,51,53,13,0
en-5_dec-6_plc_dred-0_5G-Good_loss-15_rtt-160_03-08-2026_130021,True,5G-Good,15,160,4.60486,4.95049,1678,350,0,0,28,0,8,67,50,55,0
en-5_dec-6_plc_dred-0_5G-Good_loss-20_rtt-200_03-08-2026_130112,True,5G-Good,20,200,4.30389,4.93325,1511,466,1,0,32,7,14,92,60,41,0
en-5_dec-6_plc_dred-0_5G-Good_loss-30_rtt-300_03-08-2026_130203,True,5G-Good,30,300,4.05319,4.9113,1253,616,3,0,50,6,45,120,63,75,0
en-5_dec-6_plc_dred-0_5G-Good_loss-40_rtt-400_03-08-2026_130254,True,5G-Good,40,400,3.69174,4.89469,935,747,0,0,19,19,20,237,131,133,0
en-5_dec-6_plc_dred-0_5G-Good_loss-50_rtt-600_03-08-2026_130344,True,5G-Good,50,600,3.17945,4.87179,721,1000,0,0,6,14,4,194,184,128,0
en-5_dec-6_plc_dred-0_5G-Good_loss-5_rtt-80_03-08-2026_125840,True,5G-Good,5,80,4.91389,4.9839,2032,93,0,0,20,0,12,5,45,29,0
en-5_dec-6_plc_dred-0_5G-Good_loss-70_rtt-900_03-08-2026_130435,True,5G-Good,70,900,1.00861,4.8319,527,1450,0,0,0,0,0,98,105,66,0
en-5_dec-6_plc_dred-0_5G-Good_loss-90_rtt-1200_03-08-2026_130525,True,5G-Good,90,1200,0.606736,4.7894,304,1879,0,0,2,0,8,12,34,10,0
en-5_dec-6_plc_dred-0_5G-Poor_loss-0_rtt-50_03-08-2026_130615,True,5G-Poor,0,50,4.91,4.98601,2044,88,0,0,9,0,4,24,50,25,0
en-5_dec-6_plc_dred-0_5G-Poor_loss-10_rtt-120_03-08-2026_130755,True,5G-Poor,10,120,4.75528,4.96981,1844,221,0,0,8,0,0,58,48,55,0
en-5_dec-6_plc_dred-0_5G-Poor_loss-15_rtt-160_03-08-2026_130845,True,5G-Poor,15,160,4.54028,4.94932,1635,400,0,0,5,0,16,68,60,32,0
